job_title,company_name,job_location,job_description,company_rating
HRIS Analyst,Greater Orlando Aviation Authority,"Orlando, FL 32827","POSITION SUMMARY:Perform day-to-day input of changes to process reports in the HRIS for system updates and payroll purposes; maintain interface for payroll transmissions and data integrity for synchronization of HR systems. Generate and analyze data to create accurate reports and perform statistical analysis, forecasting, and other functions useful to strategic management of the Human Resources operations. Provide end user support for Talent Management System. Assist in the evaluation of new Human Resources Information System (HRIS) applications, and upgrades and enhancements to existing systems. Assist with the coordination and administration of Retirement Benefits.MINIMUM REQUIREMENTS:Bachelors degree in Information Systems, Human Resource Management, Public or Business Administration, or a closely related field and two (2) years of professional experience in system administration and maintenance of Human Resources computer systems with HRIS experience, or an equivalent combination of education, training, and experience. Human Resources experience in multiple disciplines required. Experience with Oracle HR, ADP Workforce Now and Cornerstone On Demand Talent Management Suite preferred.General knowledge and understanding of Human Resources practices and procedures.Specific knowledge in HRIS, HR processes, data entry and analysis, and other data-related areas of the Human Resources function.Extensive knowledge of and ability to use standard PC equipment and software, including Oracle, ADP, report writing systems, Microsoft Word, Excel and Access applications.Must have the ability to type and input data quickly and accurately, use word processing and other personal computer and office equipment skillfully.Must have excellent oral and written communication skills. Ability to maintain professionalism and diplomacy at all times while interacting with the public and Aviation Authority management and employees.Must have a high degree of attention to detail.Must be able to effectively prioritize workload and work effectively with interruptions and changing priorities.Job Type: Full-timeSalary: $51,708.80 to $67,995.20 /yearExperience:Oracle HR: 2 years (Preferred)ADP Workforce Now: 2 years (Preferred)Cornerstone On Demand TMS: 2 years (Preferred)HRIS: 2 years (Required)Human Resources: 2 years (Required)Education:Bachelor's (Preferred)License:Florida Driver (Preferred)Work authorization:United States (Required)Work Location:One locationBenefits:Health insuranceDental insuranceVision insuranceRetirement planPaid time offFlexible scheduleProfessional development assistanceTuition reimbursementSchedule:Monday to FridayNo weekendsDay shift8 hour shift",NA
Strategic Data Analyst,Healthfirst,"Lake Mary, FL 32746","Description
The Operations Strategic Data Analyst embraces complex, disparate data sets and leading technologies – including Amazon Web Services, Redshift, Alteryx, and Tableau – to design data models, craft scoring methodologies and develop algorithms that inform the leaders of our business on our performance. This individual will be working directly on Healthfirst strategic initiatives to identify solutions that have visibility at the highest levels of the company.
To view the video job description, watch here -> https://video.digi-me.com/healthfirst/jobs/it/strategic-data-analyst/N40002
Operate with intellectual curiosity and critically assess existing processes and procedures to identify opportunities for improvement
Develop complex analyses requiring the integration of multiple data sources, evaluation of data quality, and standardization of data to consistent format/structure
Create advanced queries and reports that extract data to support business teams’ needs, including working with nesting tables and temp tables and writing multiple conditions against varying data sets)
Summarize and present data outcomes, recommendations, and methodology to analytics leadership, department leadership, and enterprise stakeholders
Learn, adopt and leverage leading analytical tools and technologies to further the maturity of departmental analytics at-large which may include the development of procedures in Amazon Redshift, workflows in Alteryx, or other solutions as required
Hold oneself accountable for the accuracy, completeness, quality, and relevance of deliverables in order to own responsibility for work product and consider these factors in the end-to-end analytical process, from data gathering to analysis to formatting and presentation
Employ best practices in documentation, coding style and comments to facilitate persistence, reusability, and scalability of your solutions
Document and escalate data issues as appropriate
Exhibit collaborative attitude, willingness to work with others on data projects that included working team(s) made of cross departmental/interdisciplinary users
Additional duties as assigned
Minimum Qualifications:
Bachelor’s degree from an accredited institution or equivalent relevant work experience
Working experience exhibiting strong critical thinking and analytical skills
Advanced MS Excel skills that include creating pivot tables, macros, utilizing v/h lookups and VBA
Familiarity with writing SQL (and/or SAS) queries for analyzing data and establishing business rules and requirements
Familiarity with relational database structures, theories, principles and practices
Familiarity with data models and/or data modelling
Ability to understand the data lifecycle within the organization and its impact on the business
Experience working in a team-oriented, collaborative environment
Ability to communicate effectively verbally and in writing while demonstrating good grammar, spelling and punctuation skills
Work experience requiring meticulous attention to detail
Preferred Qualifications:
Degree in Mathematics, Computer Science, Data Sciences, Engineering, Business Analytics, Informatics, or similar concentration
Experience working with SQL in a professional environment
Experience with Alteryx, Tableau, Amazon Redshift, QlikView, or other similar tools/platforms
Familiarity with statistical principles, such as standard deviations, normal distributions, and regressions
Familiarity with Python and/or R
Familiarity with healthcare data
Balances working independently with an understanding of when to escalate with questions/issues
Ability to work effectively with both business and technical stakeholders
Compliance & Regulatory Responsibilities: N/A
License/Certification: N/A
WE ARE AN EQUAL OPPORTUNITY EMPLOYER. Applicants and employees are considered for positions and are evaluated without regard to mental or physical disability, race, color, religion, gender, national origin, age, genetic information, military or veteran status, sexual orientation, marital status or any other protected Federal, State/Province or Local status unrelated to the performance of the work involved.
If you have a disability under the Americans with Disability Act or a similar law, and want a reasonable accommodation to assist with your job search or application for employment, please contact us by sending an email to careers@Healthfirst.org or calling 212-519-1798 . In your email please include a description of the accommodation you are requesting and a description of the position for which you are applying. Only reasonable accommodation requests related to applying for a position within Healthfirst Management Services will be reviewed at the e-mail address and phone number supplied. Thank you for considering a career with Healthfirst Management Services.
EEO Law Poster and Supplement",3.5
Business Analyst,Virtusa,"Tampa, FL","Hands on business analysts with good understanding of the financial/banking domain and financial products like deposits, investments, accounting and balance sheets. SQL knowledge, Python or bi tools would be a plus. Good oral and written communications along with a great team player attitude.

Primary Location: US-FL-Tampa
Schedule: Full Time
Employee Status: Individual Contributor
Job Type: Experienced
Travel: No
Job Posting: 20/03/2020, 8:21:29 AM",3.700000047683716
Data Analyst,Aon,"Tampa, FL 33607","Aon is looking for a Data Analyst

As part of an industry-leading team, you will help empower results for our clients by delivering innovative and effective solutions supporting Data & Analytics, in Tampa, FL. As a Data Analyst, you will report directly to the Manager.
Your impact as a Data Analyst:Job Responsibilities:Utilize and manipulate large sets of data to determine relevant indicators that can be leveraged into trend and insight reports
Use specific diagnostic tools and approaches designed for existing work streams
Create client reports, dynamic graphs, charts, tables and similar to reflect data analysis
Modify data analysis output when needed based on customer request or changing market trends
Develop and automate end user applications and reports
Be informed about innovative data analytics techniques and introduce into production within the analysis process and client deliverables, as appropriate
Respond accordingly to data analysis requests that are urgent in nature
Participate in strategic initiatives related to process improvements
Required skills:Strong analytical background to analyze information, situations, and procedures
Proficiency with computer systems, database management concepts and database structures
Advanced experience in Excel, Access and VBA
Prior statistical manipulation and reporting experience a plus
Ability to meet deadlines; well organized and the ability to learn under mentorship
Extremely detail-oriented; take responsibility for delivering accurate and error-free reports
Proficiency in programming languages such as SQL, Python and Tableau a plus
Education:Bachelor’s degree or equivalent, preferably with a focus on finance, math, statistics, or data analytics related fields

We offer you

A competitive total rewards package, continuing education & training, and tremendous potential with a growing worldwide organization.
Our Colleague Experience:
From helping clients gain access to capital after natural disasters, to creating access to health care and retirement for millions, Aon colleagues empower results for our clients, communities, and each other every day. They make a difference, work with the best, own their potential, and value one another. This is the Aon Colleague Experience, defining what it means to work at Aon and realizing our vision of empowering human and economic possibility. To learn more visit Aon Colleague Experience .
About Aon:Aon plc (NYSE: AON) is a leading global professional services firm providing a broad range of risk, retirement and health solutions. Our 50,000 colleagues in 120 countries empower results for clients by using proprietary data and analytics to deliver insights that reduce volatility and improve performance.

By applying for a position with Aon, you understand that, should you be made an offer, it will be contingent on your undergoing and successfully completing a background check consistent with Aon's employment policies. Background checks may include some or all of the following based on the nature of the position: SSN/SIN validation, education verification, employment verification, and criminal check, search against global sanctions and government watch lists, fingerprint verification, credit check, and/or drug test. You will be notified during the hiring process which checks are required by the position.

Aon provides equal employment opportunities (EEO) to all employees and applicants for employment without regard to race, color, religion, creed, sex, sexual orientation, gender identity, national origin, age, disability, veteran, marital, or domestic partner status. Aon is committed to a diverse workforce and is an affirmative action employer.
DISCLAIMER:
Nothing in this job description restricts management's right to assign or reassign duties and responsibilities to this job at any time. 2466038",3.799999952316284
Intelligence Data Analyst,Booz Allen Hamilton,"MacDill AFB, FL","Key Role:
Apply expertise in quantitative analysis, data mining, and the presentation of data to see beyond the numbers and understand how users interact with core business products. Maintain responsibility for the coordination, management, and development of consumer research activities for the collection, analysis, evaluation, audit, and documentation of consumer satisfaction with client products. Support the coordination, management, and development of quality standards, process improvements, and performance measures for the services provided by the division to ensure high standards across the organization. Collect, manage, and analyze data and customer feedback survey responses in an effort to further improve intelligence production. Incorporate statistical analysis and data visualization to identify trends and patterns. Provide senior leadership with In-depth analysis of metrics related to customer satisfaction, production volume, and organizational impact. Present and brief senior leadership on trends and satisfaction.
Basic Qualifications:Experience with designing and analyzing performance metricsExperience with Microsoft Office Suite, including Access, Excel, Word, Outlook, and PowerPointExperience with Excel, including the use of pivot tables, formulas, and linked tablesExperience with statistical analysisExperience with analytical software programs, including Python, SPSS, Stata, R, JEMA, FADE/MIST, Palantir, or Business IntelligenceKnowledge of intelligence analysis processes and prioritiesAbility to communicate the results of complex data analysis to executive level audiencesTS/SCI clearanceHS diploma or GED
Clearance:
Applicants selected will be subject to a security investigation and may need to meet eligibility requirements for access to classified information; TS/SCI clearance is required.
We’re an EOE that empowers our people—no matter their race, color, religion, sex, gender identity, sexual orientation, national origin, disability, veteran status, or other protected characteristic—to fearlessly drive change.",3.9000000953674316
Geospatial Data Analyst,Maxar Technologies,"Tampa, FL","Job Details
Maxar is looking for a passionate Geospatial Analyst who wants to help take our geospatial solutions to the next level. You will be joining a highly-motivated team that is enhancing, improving, and re-purposing an emerging collaborative mapping system in response to a dynamic/evolving set of customer requirements, while at the same time ensuring the deployment system continues to meet all of the customer's operational needs. We are looking for team members who are passionate about their work and willing to dive in on day one.

The team is currently comprised of Engineers, DevOps Engineers, Software Developers, and Geospatial Analysts that are focused on enhancing, improving, and re-purposing an existing collaborative mapping system. This position is for a Geospatial Analyst focusing on finding new, innovative solutions to emerging requirements and tasks.
Responsibilities:
Generate and review documentation for all database changes or refinements.
Migrate, format, and provide overall management of Special Forces data stores containing geospatial (2D and 3D), multi-media, structured, semi-structured, and unstructured data formats.
Provide technical expertise to govern the operation and administration of the SOF Geospatial Data Picture and SOF Geographic Information System (GIS) deployed on the SOF Information Enterprise (SIE).
Manage (validate, publish and maintain) geospatial base layers and intelligence updates through Arc-Server.
Implement standards, processes, and procedures governing the operation of the SGE.
Manage and Maintain data migration and populate key data sets into Arc-Server.
Move large amounts of disparate data between applications.
Manage data replication and reconcile data contention between database partitions and revisions.
Ensure master updates conform to operations tempo requirements.
Maintain data standardization ensures TSOC version updates follow the approved data schema.
Discover and publish new data sources through the SGE interface
Minimum Requirements:
Must have a current/active TS/SCI security clearance.
2+ years of GIS experience OR demonstrated exceptional knowledge of related experience.
Experience with database administration, specializing in GIS database management.
Experience with ESRI Software (v1O.x): ArcGIS AdvancedServer, ArcGISPortal, ArcSDE, ArcDesktop.
Experience working with Geospatial Data Formats: KML/KMZ, Shapefiles, Geo-databases (File, Personal, SDE).
Preferred Qualifications:
Experience with geospatial data handling.
Ability to extrapolate from large data sets.
Excellent organizational skills.
#cjpost
MAXAR Technologies values diversity in the workplace and is an equal opportunity/affirmative action employer. All qualified applicants will receive consideration for employment without regard to sex, gender identity, sexual orientation, race, color, religion, national origin, disability, protected veteran status, age, or any other characteristic protected by law.",3.5
Data Analyst,Synechron,"Tampa, FL","Business Consulting Data Analyst Tampa, FL, USA

Job Description

Synechron is looking for a Data Analyst with good financial domain experience at Tampa, FL.

Requirements

Required Skills

Knowledge of Front Office Trade flows, Markets Risk, Liquidity, Finance Positions and Corporate Risk would be extremely valuable.
Good Markets Products experience in large Financial Services firms
Exceptional Data Analysis skills
Knowledge of SQL against large data sets would be beneficial
Business analysis & Presentation skills would be helpful
Technology background in File based or Messaging systems based architecture would be an additional plus",3.5999999046325684
Senior Functional Business Analyst,Hillsborough County,"Tampa, FL","Hillsborough County is looking for a Senior Functional Business Analyst in Tampa, FL

CLICK APPLY NOW TO LEARN MORE ABOUT THIS JOB
Hillsborough County Government provides employees with careers that are both professionally and personally rewarding. With a wide range of independent agencies to choose from, the opportunities within Hillsborough County Government are endless!
Category: Government Administration

Experience: Full-Time

Salary: $33.09 - $52.95/hr
About Us: A great place to live, work and play.Check out our complete list of openings here!
Keywords: Summary / Ideal Candidate / Management / Benefits / Teamwork / Reporting / Database / Training / ETL / Operations / Experience / Knowledge / Prepare / Degree / Skills / Environment /",3.799999952316284
Data Analyst,Axiologic Solutions,"Tampa, FL","Overview:
Based in Northern, VA, Axiologic Solutions LLC has opportunities for you to become part of our high-quality team that delivers innovative solutions to key Federal clients.

Position is contingent based on awarded contract.

Responsibilities: Data Analysts use technology to mine complex, voluminous, and different varieties of data from various sources and platforms in order to collect, analyze, and compile data to meet customer needs. Data Analysts will perform the following duties:
Identify new sources of data and methods to improve data collection, analysis, and reporting
Collect customer requirements
Determine technical issues
Design algorithms and data manipulation capabilities using R, Python, C++, JavaScript, Go, and other known programming languages.
Build data solutions, tools, and capabilities to enable self-service frameworks for data consumers to monitor and report on data.
Improve the quality of data use and usability by driving an understanding and adherence to the principles of data quality management including metadata, lineage, and business definitions
Work collaboratively with Intelligence and Data analysis teams to produce qualitative and quantitative data that support Intelligence products.
Qualifications:
Possess a minimum of a bachelor's degree in a computer science discipline.
Experience providing services similar in required tasks, scope, and complexity.
Equal Opportunity Employer–minorities/females/veterans/individuals with disabilities/sexual orientation/gender identity.

Equal Opportunity Employer–minorities/females/veterans/individuals with disabilities/sexual orientation/gender identity.

Applicants with a physical or mental disability, who require a reasonable accommodation for any part of the application or hiring process, may e-mail their request to Jennifer.chavira@axiologicsolutions.com, call 571-758-3780, or visit our office at 8280 Willow Oaks Corp. Dr. Suite 450, Fairfax Virginia for assistance. Determinations on request for reasonable accommodation will be made on a case-by-case basis.",4.400000095367432
DATA ANALYST,"Foot Locker, Inc.","Bradenton, FL 34205","Foot Locker is seeking a Data Analyst to join the Data Team within Foot Locker’s Information Systems & Technology (IS&T) Department. Incumbent will be responsible for data analytics, within an agile data science team, to improve customer experience and inform business strategy.
Our global house-of-brands inspires and empowers youth culture. Relentlessly committed to fuel a shared passion for self-expression, we create unrivaled experiences at the heart of the sport and sneaker communities through the power of our people. If you want to be a part of something bigger than you can imagine, you’ve come to the right place. To learn more about the incredible impact we’re making on both our local and global communities, Click Here!
RESPONSIBILITIES
Understand business inquiries for medium to high complexity analytics and develop innovative analytic solutions, aligning both data science team and business clients on approach
Working with the product owner, develop user stories to define research plan using agile methodology
Provide ad-hoc data and analytics support to the business to build foundational understanding and deliver higher level insights
Perform data preparation and data wrangling activities to support team analytics
Develop expertise in data model and business considerations within the data; Provide guidance to team on use and interpretation
Communicate clearly and effectively with business users and agile teams through all phases of the development life cycle
Deliver key findings to members of the business though presentations and direct engagement that result in actions and improved decision making
Develop and perform value measurement and tests to refine approaches and influence direction of analytic product development
Research and troubleshoot problems & questions related to deployed analytic solutions
Maintain knowledge on the latest data
QUALIFICATIONS
Requires a Bachelor's degree in Statistics, Finance, Operations Research, Applied Math, Computer Science or related quantitative field from an accredited university or college
Proficient in SQL and structured databases; familiarity with unstructured big data analysis
Familiar with web analytics concepts and tools such as adobe or google analytics
Basic Knowledge of advanced statistics, data manipulation, and research methods preferred
Experienced in BI data visualization tools (e.g. Microstrategy, Tableau)
Must be able to think both creatively and critically",3.9000000953674316
