job_title,company_name,job_location,job_description,company_rating
DESIGN ENGINEER,Nautical Structures Industries Inc.,"Largo, FL 33773","Design EngineerJob DescriptionNautical Structures, is currently seeking an innovative, Design Engineer – within the product development group for Customized Engineer to Order Lift Products. Key responsibilities of this position will include independently carry out moderately complex projects from start to finish. Must be a fully competent engineer in all conventional aspects of his/her assigned projects.This individual will report to the Director of Engineering, the position is based in Tampa, FL.Job Function & Responsibilities: Product Design & Develop lifting appliances, cranes and boarding equipment alike for the marine industry.Perform classical calculations, and Finite Element Analysis modeling on structural and mechanical members.Details, Assembly & Schematics drawings as it relates to structural, mechanical, hydraulic & electrics.Plans, organizes and effectively manages his/her time whilst working on multiple assigned projects.Work with customers to validate that NS designs are in compliance to customer contract specifications.Ensure that the engineered product is DFM in accordance to NS best practices and esthetic requirements.Work with shop and service personnel on restitution of design or field related issues.Assist other departments in preparation of manuals and sales literature of assigned projects.Coordinate work activities with internal and external resources.Test witness, data acquisition and final test report assemblance.Desired Skills & ExperienceBachelors degree in Mechanical Engineering is required.Must have at least 5 to 7 years of engineering experience from a lift equipment industryPrior experience with manufacturing, design methods and procedures is required.Experience with an advanced FEA modeling software package is desirable.Proficient in using AutoCAD and with 3D modeling software is required, preferably Solid Works.Working knowledge of hydraulic and electrical systems. Must be able to interpret and assimilate schematics.Good communication skills required, including the ability to interface with other cultures.Must have a strong work ethic and proven track record of timely completions of projects.Familiarity with applicable industry codes, ABS, MCA, LAME, ANSI are desirableTravel, 10%.Benefits: § Health insurance.§ Dental insurance.§ Vision insurance.§ Life insurance, other insurances are available.§ Personal Time Off (PTO).§ Seven paid holidays.§ We are a drug free workplaceJob Type: Full-timeSalary: $65,000.00 to $85,000.00 /yearExperience:solid modeling: 3 years (Preferred)3d modeling: 3 years (Preferred)is highly desired: 3 years (Preferred)physical design: 3 years (Preferred)design verification: 3 years (Preferred)Education:Bachelor's (Required)Work Location:One locationBenefits:Health insuranceDental insuranceVision insurancePaid time offSchedule:Monday to FridayOvertimeCompany's website:WWW.NAUTICALSTRUCTURES.COM",NA
SQL Developer,Protect My Car,"Saint Petersburg, FL 33716","Protect My Car is looking for someone to join our Data Management team as a SQL Developer. In this position you will be a major contributor to the development and maintenance of Tables, Stored Procedures, Views and Functions. You will also be responsible for helping support our self-service business intelligence platform, which includes meeting with internal stake holders to discuss their reporting needs and implementing the tools they need to self-service. As a member of our Data Management team you will have the support of your team members and the tools needed to excel in your role. You will work out of a ticket queue system managed by our IT Project Manager to define priorities and timelines.PMC is on multiple lists of best places to work, and fastest growing companies including Fast 50, INC. 500, and Tampa Bay Business Journal. If you are looking to take your skills to the next level and make an impact on a growing company, then this is the job for you!Essential Duties and Responsibilities: Write SQL queries, views or stored procedures to extract data from SQL Servers in a consistent and efficient manner that follows industry best practices.Interpret existing complex SQL queries and stored procedures to reverse engineer existing code.Create and automate or increase the efficiency of existing reportsAssist in data analysis functions.Elicit requirements from stakeholders to better define report content.Document the results of work activities.Support the generation of standard reports as well as ad hoc queries.Ensure effective communication to the management team and business clients.Make recommendations for improvements in reporting tools, techniques and processes.Participate in efforts to analyze, design and migrate data as needed.Perform other duties as assigned.Minimum Qualifications (Education, Experience, Skills)Strong understanding of SQL databases and queries as well as programmability concepts such as stored procedures and functionsAbility to write SQL queries by hand without an external tool or query designer.Minimum two years’ experience as a Data Analyst/Report Writer or other roles heavily utilizing SQL.Experience in developing reports and dashboards.Effective verbal and written communication skills.Ability to understand business processes and relate them to technical solutions, and vice versa.Experience in performing efficient analysis of process improvements.Ability to work independently and demonstrates ability to take ownership for daily work performance.Proven ability to deliver creative solutionsExposure to Self Service Reporting engines such as Looker and Power BI.PlusesKnowledge of Data Warehousing and Big Data.Experience creating ETL Processes.Understanding of object-oriented programming concepts, you will not work in this domain, but you will work very closely with people who do.Experience with Git or similar version control solutionFamiliar with JSON data representationWhat We Offer: Flexible ScheduleCompetitive pay and benefitsPartial RemoteOn Site Fitness CenterCompany paid snack and drinksJob Type: Full-timeSalary: $50,000.00 to $60,000.00 /yearLocation:Saint Petersburg, FL 33716 (Required)Work authorization:United States (Required)",3.299999952316284
Big Data Engineer (Hadoop/Spark/Kafka),Haneke Design,"Tampa, FL","Haneke Design is looking for a Big Data Engineer to join one of our project teams in Tampa, FL.

Our ideal data engineer will join us with experience building wicked fast, scalable systems for ingesting, storing, and managing large amounts of data. Strong organizational skills, and an ability to learn quickly are a must. Our data engineer will work with the team to ensure that collection and analysis remains highly performant as business requirements shift with the market.

We value strong problem-solving skills and strong communication skills. We want all of our employees to be proactive in identifying areas of risk and proposing solutions.

If you think you’re a good fit for this role we’d love to talk, please send us some information about yourself along with a link to a Git repository with some code samples.

This is a full-time in-office position in Tampa, FL. All candidates must be authorized to work in the United States.

Please send code samples (or links), availability date, and salary requirements along with your application. We look forward to hearing from you!

*Please no job recruiter solicitations*",NA
IT Support Engineer I,Amazon.com Services LLC,"Ruskin, FL","High School diploma or GED equivalent2+ Years of experience in one or more of the following: Microsoft Administration, Linux Administration, or Cisco IOS (CLI)2+ years of experience of troubleshooting in a multi-user high availability environment2+ years or experience with networking concepts such as DNS, DHCP, SSL, OSI Model, and TCP/IP2+ years of experience in PC repair, troubleshooting, deployment, and liquidation1+ years IT experience with client, server, and network service delivery
About OpsTech IT
Operations is at the heart of Amazon’s business. We are known for our speed, accuracy, and exceptional service. Our buildings deliver tens of thousands of products to hundreds of countries worldwide, every day. OpsTech IT provides nonstop global IT support to Amazon Operations as a vital piece to the puzzle. We are looking for self-motivated individuals to take on new challenges and motivate teams in fostering solutions to the hurdles we face. Together, we take ownership for what we do — whether supporting IT infrastructure, developing new technology in-house, launching a new Amazon Operations facility, or delighting our customers by delivering packages directly to them.
About The Role
As an IT Support Engineer I, you will use your knowledge and specialized skills to implement technical solutions and provide high quality support for computer hardware, operating systems, or enterprise application software. You are able to determine when it is appropriate to deviate from a standard practice to accomplish the desired result. You can troubleshoot and solve straightforward problems that do not have defined SOPs.
What Do We Offer?
Amazon offers competitive compensation packages including comprehensive healthcare benefits starting on Day 1, matching 401(k) program, and up to 20 weeks of paid parental leave. But wait there’s more: we don’t wear suits and ties! Come as you are because jeans, t-shirts, sneakers and sometimes a neon safety vest will be your daily outfit.
Responsibilities include, but are not limited toNetwork engineering and troubleshooting, data cabling and systems administration in a variety of software and hardware environments.Ensure infrastructure networking and computing systems remain available during production hours.Interact with management and staff to provide analytical and technical assistance for continuous improvement of IT solutions.Manage local technical projects.Maintain or create policies, procedures, and processes.Identify root-causes of operational issues and process inefficiencies.Ability to move up to 49lbs as well as stand and walk for 10-12 hours at a time with or without reasonable accommodation.
Bachelor’s degree in Computer science or IT related field.Microsoft MCSE, MCITP Systems Administrator (Active Directory)Cisco CCENT certificationData center infrastructure and facilities experienceAbility to explain complex IT concepts in simple termsAbility to manage high priority projectsExcellent written and verbal communication skillsProven ability to work successfully with limited supervisionAbility to travel up to 25%
Amazon is an Equal Opportunity Employer – Minority / Women / Disability / Veteran / Gender Identity / Sexual Orientation / Age.",3.5999999046325684
Data Engineer,LOCKHEED MARTIN CORPORATION,"Orlando, FL 32819","The stated position will support data engineering and data science needs of $10B business area (Missiles & Fire Control) within Lockheed Martin that is growing rapidly. The data engineering & data science efforts are to support improving the quality and availability of data for MFC business. This position is a technical role, reporting through Missiles & Fire Control Data organization.

Our data platform is a mix of Data Warehouse, Data Lakes and Logical Data Warehouse set up where we look to ingest variety of data from various sources including real time streaming or machine data, process and provision the data for analytical and other consumption purposes.
The Data Engineer-Data Scientist delivers full-stack data solutions across the entire data processing pipeline. This relies on systems engineering principles to design and implement solutions that span the data life cycle to: collect, ingest, process, store, persist, access, and deliver data at scale and at speed. It includes knowledge of local, distributed, and cloud-based technologies; data virtualization and smart caching; and all security and authentication mechanisms required to protect the data.

Primary Responsibilities and Activities:Analyze various data sets to validate and troubleshoot errors in business processes; identify opportunities for improvements using Machine Learning (ML) modelsBuild data pipelines that clean, transform, and aggregate unorganized data into databases or data sources that are ready for analysisExecute system simulations to produce data sets for performance analysisImplement data solutions by defining functional capabilities, security, back-up, and
recovery specificationsWork through all stages of a data solution life cycle, e.g., analyze / profile data, create conceptual, logical and physical data model designs, architect and design ETL, reporting and analyticsDocument data definitions, dictionaries, and architecturesDefine how data will be collected, what data will be needed, constraints to be considered
Basic Qualifications:Bachelor's degree in computer science, information systems or a related technical fieldOne or more years of experience in Full Stack Data Engineering: Data Onboarding, Data Pipelines, Data Cleansing, Data Enrichment, Data Integration and Data Science Analytics
Experience working with Big Data, Telemetry Data, Structured and unstructured data in Data Lakes or other Distributed Data Systems.
Working knowledge of Data Processing / Big Data Processing / Data Lake/ Data Pipelines and Analytics using modern cloud native toolsetsExperience in API development, management and governance.Data Integration Pipelines to handle large volume of data for data science and machine learning purposes in a data lake environmentLanguages: Java, Python, SQL, R, Java Script, Shell Scripting
Desired Skills:Master’s degree in Data Management Design Principles, Data Science (Machine Learning), Statistical FoundationsPrior experience in Aerospace & Defense or in large manufacturing industries for descriptive/diagnostic and predictive, prescriptive analytical needs.
Systems Engineering expertise to include systems design, requirements, analysis, and management of complex systems over their life cyclesNaive Bayes, ID3 Decision Tree, and Neural Network classification algorithmsExperience in working with Container and Container Management frameworks (for e.g. Docker, Kubernetes).Data integration skills and experience especially around moving large data sets in batch & near real time across cloud & ground desired.Experienced in Cloud Native Application Architecture/ Cloud Computing/ Virtualization/ DevOps/Microservices and Microservices design patterns and Serverless pattern.Languages: Scala, Ruby, C++, Perl, SAS, Matlab, Hive, Pig, SPSS, XML, API, Kubernetis
BASIC QUALIFICATIONS:
job.QualificationsLockheed Martin is an Equal Opportunity/Affirmative Action Employer. All qualified applicants will receive consideration for employment without regard to race, color, religion, sex, pregnancy, sexual orientation, gender identity, national origin, age, protected veteran status, or disability status.
Join us at Lockheed Martin, where your mission is ours. Our customers tackle the hardest missions. Those that demand extraordinary amounts of courage, resilience and precision. They’re dangerous. Critical. Sometimes they even provide an opportunity to change the world and save lives. Those are the missions we care about.
As a leading technology innovation company, Lockheed Martin’s vast team works with partners around the world to bring proven performance to our customers’ toughest challenges. Lockheed Martin has employees based in many states throughout the U.S., and Internationally, with business locations in many nations and territories.EXPERIENCE LEVEL:
Experienced Professional",4.0
Senior Data Engineer,EvereTech LLC,"Orlando, FL 32825","EvereTech is seeking a Senior Data Engineer to support a Lockheed Martin contract. The selected candidate will assist the Analytics Operations team with supporting a Business Intelligence team on a direct customer program. They will work with program team members to meet customer deliverables, address defects, and work enhancement backlog.Exhibits a degree of ingenuity, creativity, and resourcefulness when collecting, and processing data for analysis while working as part of an Agile scrum teamApplies and/or develops workflows that clean, transform and aggregate unorganized data into databases or data sourcesResponsible for collecting, ingesting, processing, and storing large datasets from a wide variety of data sources and stakeholdersMaintain data systems performance by identifying and resolving production and application development problems; calculating optimum values for parameters; evaluating, integrating, and installing new releasesCollaborate with data architects and data analysts to develop solutions across the entire data processing pipelineMandatory Skill/Experience/Education:Must be a U.S CitizenDemonstrated experience with the MSBI tools stack including SSISDemonstrated SQL experience in database modeling and data transformationsDemonstrated experience using performance tuning and query optimization techniquesExperience in data warehousing solutionsExperience with the data lifecycle and can interpret and communicate the state of data throughout the processing pipelineExperience in Agile methodologies and toolsSelf-motivated with strong time management capabilities and ability to adapt to shifting prioritiesMust have strong problem-solving skills and excellent oral and written communication skillsAbility to document technical solutions in support of standards and best practicesA Bachelor’s degree in Data Science, Computer Science, Business Information Systems, or other relevant area and 3+ years relevant experience as a BI/Data EngineerDesired ExperienceExperience with data analytics and/or visualization tools including SSRS or TableauExperience with performance analysis of data warehouses and/or ETL processes including developing mitigation strategiesKnowledge of Continuous Integration/ Continuous Development practicesUnderstanding of data governance, data security, and data qualityJob Type: ContractSalary: $40.00 to $50.00 /hourExperience:Data Warehousing: 6 years (Preferred)BI/Data Engineer: 3 years (Preferred)MSBI tools stack including SSIS: 4 years (Preferred)Education:Bachelor's (Required)Location:Orlando, FL 32825 (Preferred)Work authorization:United States (Preferred)Company's website:www.everetech.comCompany's Facebook page:facebook.com/everetech",5.0
Intelligent Enterprise Solution Engineer,Elutions,"Tampa, FL 33605","** Elutions will be unable to sponsor or transfer any additional H-1B visas during the next 5 years**

ELUTIONS is a premier global provider of Operational Business Intelligence Solutions that significantly improve business processes surrounding energy efficiency, critical asset performance and workforce productivity. As the top leader in our industry, world-wide, we are constantly on the lookout for go-getters, people who aren't afraid to work hard, but have fun at the same time. Those who join our team aren't just bright, but are willing to develop and hone their skills every day, all while making a significant difference in the world.

The Engineering Team is seeking a motivated, hard-working Intelligent Enterprise Solutions Engineer with the ability to integrate energy conservation strategies into real world applications (commissioning data analytics and implementation).

** Entry Level Candidates are Encouraged to Apply!!!**

General Responsibilities:
Conduct research, data analytics, and prepare reports
Understand and use big data concepts to provide cost savings to our clients
Be able to apply anomaly detection algorithms, identify data patterns and apply energy optimization methods using software tools/functions
Field travel to perform site surveys and Elutions equipment installation/commissioning
Understand implementation and integration with technical hardware and software solutions
Have effective interpersonal skills, organization/prioritization and administration skills to manage client accounts and delivery
Interface effectively with customers, other departments and managers to resolve customer problems
Conduct and support training sessions with members inside and outside of the organization
Requirements:
Master's degree/Bachelor's degree in either Mechanical Engineering, Process Engineering, Manufacturing Engineering, Electrical Engineering, Industrial Engineering, or Environmental Engineering disciplines
Machine Learning and Analytical tools (highly preferred) - Python, pandas, matplotlib, tableau, PowerBI, or other similar tools
Motivational Fit:

The successful candidate will have the following attributes:
Good communication skills, especially with teams in other locations
Deep understanding of mechanical and electrical systems (process industry experience if applicable)
Plans and organizes well
Creative problem solver
Initiates action
Quick learner
Flexible and adaptable
Team-oriented
Highly motivated
In return, Elutions provides:
Flexible, family-friendly schedules
Ability to work alongside the best and the brightest
A generous time-off policy
Partial employer-paid benefits for you and your family
A fun, creative, and pet-friendly work environment",NA
"Data Analyst, Sports Analytics",Electronic Arts,"Orlando, FL","EA SPORTS is one of the leading sports entertainment brands in the world, with top-selling videogame franchises, award-winning interactive technology, fan programs and cross-platform digital experiences. EA SPORTS creates connected experiences that ignite the emotion of sports through industry-leading sports video games, including Madden NFL football, FIFA Soccer, NHL® hockey, NBA LIVE basketball, NCAA® Football, Tiger Woods PGA TOUR® golf, SSX, and EA SPORTS UFC. For more information about EA SPORTS, including news, video, blogs, forums and game apps, please visit www.easports.com .
The Challenge Ahead:
As a Data Analyst, you will help analyze data to improve the player experience for our Sports titles. You should be a thoughtful, curious, and analytical individual who has a passion for diving into data and building models to understand how players are interacting with our games. Your insights will help guide game design towards improved acquisition, retention, and monetization as well as go-to-market strategy.
What a Data Analyst does at EA:
Produce strategic insights to help partners (e.g. Marketing, Brand, Development, etc.) make informed decisions regarding live content performance and feature investment
Receive questions from the business, understands the questions, and determines the data needed to answer them
Present analysis conclusions to business stakeholders in a clear, interpretable, and actionable way
Work with large, distributed data sources to conduct analyses
Provide guidance to product teams regarding data capture needs and ensures the analytics team has sufficient telemetry available to answer important business questions
Partner with Business Intelligence and Database Engineers to identify and manage data requirements to support high-quality analysis and reporting
Conduct effective analysis while adhering to company-wide best practices such as version control, documentation, and reproducibility

Requirements

BA or BS in Economics, Mathematics, Statistics, Information Systems, or a related field
1 or more years of work experience in a data-driven role, demonstrating expertise with data to find insights and improve decisions
Experience in a consumer products-oriented industry; gaming, entertainment, or e-commerce is a plus.
Excellent SQL skills, including experience querying large datasets on a platform such as Redshift is a plus; experience on a big data platform such as Hadoop or Splunk is a plus
Experience in data mining and statistical modeling
Experience with data visualization applications (e.g. Tableau, Power BI, Shiny)
Experience with programmatic data analysis tools (e.g. R, Python)
Knowledge/interest with EA Sports’ franchises (specifically Madden) is a plus",3.9000000953674316
Modern Desktop/Endpoint Architect/Engineer,"Dynamic Technical Solutions, Inc. (posting for a c...","Tampa, FL","No 3rd Party VendorsPrimarily Remote, Some Onsite RequiredFull Time/Contract - All Inclusive RateJob Description: The Architect/Engineer should have a deep understanding of:Managed Desktop via AutopilotSCCM Integration with IntuneWindows 10 Assessments:Windows Virtual Desktop:Intune (MDM)Configure connectivityMaintain WindowsManage policies and profilesManage and protect devicesManage apps and dataIdentity and Access Management – Conditional Access, Multi-Factor AuthenticationBe able to demonstrate Endpoint Management through Proof of ConceptsWindows 10 Deployment - AutopilotManage devices and dataKnowledge of Windows Defender-ATPNote:Some overtime and on-call availability may be required.Other functions that may be assigned. Management retains the discretion to add to or change the duties of the position at any time.Job Types: Full-time, ContractSalary: $90.00 to $100.00 /hourExperience:IAM (Identity & Access Management): 5 years (Preferred)Intune: 5 years (Preferred)Windows 10: 5 years (Preferred)Work authorization:United States (Preferred)Required travel:25% (Preferred)Contract Length:7 - 11 monthsFull Time Opportunity:NoWork Location:Multiple locationsFully RemoteBenefits:NoneSchedule:Monday to Friday",NA
Engineer II,City of Tampa,"Tampa, FL","Nature Of Work
An employee in this class is responsible for performing a variety of engineering assignments of more than average difficulty, which may include review of development/construction plans and plans involving maintenance of traffic, inspection, as well as right-of-way, or traffic engineering activities. Under direction, employee exercises reasonable initiative and independent judgment in selecting work methods and formulating recommendations to meet program needs, objectives, and goals. Employee may either function as project engineer or be required to apply a high degree of technical knowledge and skill in principles and practices of civil engineering and maintenance of traffic. Work is reviewed while in progress and upon completion through conferences, oral and written reports, and observation of results obtained.
Examples of Duties
Reviews construction plans and specifications for projects involving storm drainage systems, sanitary sewers, water lines, streets, sidewalks, curbs, utilities, communication facilities, and other site development projects.
Conducts on-site inspection of construction jobs and traffic maintenance; provides input into submission of final ""as-built"" plans.
Coordinates plan reviews with department, with other municipal departments and outside sources, such as contractors, engineering firms, and governmental agencies; provides input and reviews development or revisions of rules, regulations, ordinances, and correspondence; reads and interprets site plans, technical drawings and diagrams to determine conformance with technical standards; reviews construction plans and specifications to ensure that they are in conformance with codes.
Approves or disapproves construction documents and communicates results to appropriate design professional to facilitate construction; examines construction documents (plans, specifications, etc.) in order to determine conformity with applicable codes and regulations.
Conducts field investigations, surveys, and inspections to collect information/evidence when necessary.
Develops press releases regarding road closures, detours in conjunction with construction projects to provide communications between City government, residents, and businesses.
Drafts and coordinates complaint responses to citizens, City Council and City administration; monitors and coordinates customer service center and website inquiries. Performs related work as required.

Performs related work as required.
Knowledge, Skills & Abilities
Working knowledge of: the principles and practices of the assigned area of engineering; federal, state, and municipal rules, regulations, ordinances, and other pertinent documents; developments and information in the assigned field of engineering.
Ability to: plan, design, direct, and review the work of others engaged in a variety of engineering assignments; read and interpret engineering data, blueprints, technical drawings and diagrams, plans, and specifications and draw sound conclusions; prepare and submit clear, concise reports, both orally and in writing; establish and maintain effective working relationships with other employees, officials, and the general public.
Skill in: the use and care of engineering tools; reading and interpreting site plans and construction drawings; use of computer programs such as Microsoft Word, Excel, Accela, Outlook, Adobe Acrobat Pro, ArcGIS, and others.
Minimum Qualifications
Graduation from an accredited college or university with a bachelor’s degree in engineering, preferably related to the area of assignment, and three (3) years of related post-degree engineering experience. Significant independent project completion experience desired.
Licenses or Certifications
Possession of a valid Florida driver’s license required.
Professional Engineer (PE) or Fundamentals of Engineering (FE) designation required.

***Departmental employees must meet established level II criterion for the current Engineer promotion program.***
Examination
Evaluation of education and experience. Drug testing is included in all pre-employment processing.
Comments
During periods when the Mayor issues an emergency declaration for the City of Tampa, all employees may be required to work in preparation, response or recovery activities related to the stated emergency.",4.099999904632568
