job_title,company_name,job_location,job_description,company_rating
Machine Learning Specialist,Gridiron IT,"Tampa, FL 33646","TS/SCI and Security+ needed

Ability to develop and deliver scalable machine learning solutions that address challenging new problems and derive insights from massive complex datasets.
Knowledge of machine learning concepts and algorithms such as Clustering, Support Vector Machines, Random Forests, Artificial Neural Networks, Natural Language Processing techniques, and Automated Machine Learning.
Familiarity with common machine learning frameworks and toolkits such as scikit-learn, Keras, Tensorflow, PyTorch, and Spark.",3.799999952316284
Data Scientist – Solution Specialist - USDC,Deloitte,"Lake Mary, FL","Analytics & Cognitive – Data Scientist – Solution Specialist - USDCAre you an experienced, passionate pioneer in technology – a solutions builder, a roll-up-your-sleeves technologist who wants a daily collaborative environment, think-tank feel and share new ideas with your colleagues - without the extensive demands of travel? If so, consider an opportunity with our US Delivery Center – we are breaking the mold of a typical Delivery Center.Our US Delivery Centers have been growing since 2014 with significant, continued growth on the horizon. Interested? Read more about our opportunity below …Work you’ll do/Responsibilities Strong understanding of data science techniques and libraries and their applicability to business problem classes
 Experience in performing exploratory data analysis to arrive at patterns to define analytical models
 Develop advanced quantitative modules using a variety of programs/software to support predictive assessments
 Provide expertise for analytic, programmatic, strategic, and operational analysis.
 Ability to explain analytics model behavior/results to business
 Perform technical risk analysis and reliability assessments.
 Perform multiple forms of advanced analyses, sustainment, optimization, text analytics, machine learning, social-science modeling and statistical analysis, parametric and non-parametric statistical models and techniques.
 Build, test, validate and demonstrate analytical models through various relevant error metrics and calibration techniques.
 Provide recommendations for plans, programs, strategies, policies and budgets
 Design algorithms that require a number of different models/methods to be used in an ensemble
 Experience in transition of the model into an industrialized implementation or business usersThe TeamAnalytics & Cognitive
In this age of disruption, organizations need to navigate the future with confidence, embracing decision making with clear, data-driven choices that deliver enterprise value in a dynamic business environment.The Analytics & Cognitive team leverages the power of data, analytics, robotics, science and cognitive technologies to uncover hidden relationships from vast troves of data, generate insights, and inform decision-making. Together with the Strategy practice, our Strategy & Analytics portfolio helps clients transform their business by architecting organizational intelligence programs and differentiated strategies to win in their chosen markets.Analytics & Cognitive will work with our clients to:
Implement large-scale data ecosystems including data management, governance and the integration of structured and unstructured data to generate insights leveraging cloud-based platforms
Leverage automation, cognitive and science-based techniques to manage data, predict scenarios and prescribe actions
Drive operational efficiency by maintaining their data ecosystems, sourcing analytics expertise and providing As-a-Service offerings for continuous insights and improvementsQualifications
Required Bachelors (or Masters) of Statistics/Technology/Science/Engineering/Applied Mathematics or PhD and has experience in developing algorithms using data science technologies to build analytical models
 Experience with PYTHON and/or R programming
 Modeling expertise using techniques such as logistic and linear regression, decision trees, neural networks or clustering techniques
 Experience in data wrangling/cleansing, statistical modeling, and programming
 Limited travel up to 25%
 Must be willing to live and work in one of our Center locations:
§ Gilbert, AZ (Phoenix area)
§ Mechanicsburg, PA (Harrisburg area)
§ Lake Mary, FL (Orlando area)
 Must be a US Citizen or Green Card HolderPreferred
 Experience with Tableau or similar visualization tool
 Business analytics experience in one or more of the following industries: Insurance, Consumer Products and Packaged Goods, and Human Resources
 Experience conducting Modeling and Simulation Analysis, DoD Science and Technology (S&T) Analysis, Program Analysis and Evaluation, C4/IT and Cyber Analysis, Manpower Analysis, Training and Education Analysis, DoD Logistics, Maintenance, and Supply Analysis, Naval Amphibious Shipping Analysis, Strategic Plans Analysis, Strategic Investment Analysis, Cost and Economic Modeling and Analysis, Operations Research Analysis, Readiness Analysis, Force Preservation AnalysisHow you’ll grow
At Deloitte, our professional development plan focuses on helping people at every level of their career to identify and use their strengths to do their best work every day. From entry-level employees to senior leaders, we believe there’s always room to learn. We offer opportunities to help sharpen skills in addition to hands-on experience in the global, fast-changing business world. From on-the-job learning experiences to formal development programs, our professionals have a variety of opportunities to continue to grow throughout their career.Benefits
At Deloitte, we know that great people make a great organization. We value our people and offer employees a broad range of benefits.Deloitte’s culture
Our positive and supportive culture encourages our people to do their best work every day. We celebrate individuals by recognizing their uniqueness and offering them the flexibility to make daily choices that can help them to be healthy, centered, confident, and aware. We offer well-being programs and are continuously looking for new ways to maintain a culture where our people excel and lead healthy, happy lives.Corporate citizenship
Deloitte is led by a purpose: to make an impact that matters. This purpose defines who we are and extends to relationships with our clients, our people and our communities. We believe that business has the power to inspire and transform. We focus on education, giving, skill-based volunteerism, and leadership to help drive positive social impact in our communities. Learn more about Deloitte’s impact on the world.Recruiter tips
We want job seekers exploring opportunities at Deloitte to feel prepared and confident. To help you with your interview, we suggest that you do your research: know some background about the organization and the business area you’re applying to. Check out recruiting tips from Deloitte professionals.#LI:PTY
#IND:PTY",4.0
Financial Analyst,Wellcare,"Tampa, FL 33634","At WellCare, we are a passionate team with a strong mission and a focused purpose: to serve our members and communities in which they live while helping them live better, healthier lives. Our culture is one of empowerment, teamwork and commitment as we all work together to deliver cost-effective solutions that create positive outcomes for our members. Join us a career that inspires passion and purpose across all levels and disciplines within our award-winning organization.
Position leads in the development of complex ad-hoc repots to enable process and trend analysis. Provides recommendations on the implementation of new/revised operational and/or reporting processes. Conducts special projects requiring a high degree of confidentiality and expert knowledge of multiple departments within the company. May provide project guidance and leadership to other Analysts.Department: Finance - Health Analytics
Reports to: Sr. Director, Health Analytics
Location: Henderson Rd (Ren 1)Essential Functions:
Develops ad-hoc reports to conduct data analysis and validation.
Researches methodologies and conducts advanced metric reporting.
Analyzes trends to recommend process and/or operational improvements.
Provides analysis of medical cost trends/drivers associated with the monthly MBR reporting in conjunction with the release of the monthly reports.
Provides analysis of material changes in MBR levels from month to month in conjunction with the release of the monthly reports and provides reliable and accurate MBR reporting.
Links MBR reporting (recast) and financial forecast results.
Works with the technical team to identify/implement improvements in quality control/timeliness of reporting.
Works with the business owners to help markets understand their financial information.
Prepares detail and summary level reports including written interpretation of analytic results.
Presents results to management, including data-driven business recommendations and alternatives.
Evaluates financial impact of implemented initiatives.
Contributes to cross-functional teams to address key issues facing the organization.
Collaborates within finance (Actuarial/Accounting/Planning) to provide historical and prospective unit cost, utilization and other medical cost initiatives as critical inputs to the financial forecasting and monitoring process.
Builds expertise in specific areas of medical cost management. Leverage the expertise across other markets and regions.
Coordinates and participates in research-related activities including industry best-practices, research and development of models, tools, and data analysis projects, and experience studies.
Performs other duties as assigned.
Provides expertise to assist with implementation of process changes necessary to improve the quality and accuracy of data captured by the system.
Additional Responsibilities:
Candidate Education:
Required A Bachelor's Degree in Information Systems/Management, Computer/Data Science, Statistics, Mathematics, Informatics, Business, Economics, or a closely related analytic field
Required Other an additional 2 years of Financial / Data Analysis may be substituted in lieu of the bachelors Degree
Candidate Experience:
Required 2 years of experience in Financial / Data Analysis
Preferred Other healthcare experience
Candidate Skills:
Advanced Demonstrated written communication skills
Advanced Demonstrated interpersonal/verbal communication skills
Advanced Ability to multi-task
Advanced Ability to work in a fast paced environment with changing priorities
Advanced Ability to effectively present information and respond to questions from families, members, and providers
Advanced Ability to identify basic problems and procedural irregularities, collect data, establish facts, and draw valid conclusions
Advanced Demonstrated time management and priority setting skills
Licenses and Certifications:
A license in one of the following is required:
Technical Skills:
Required Intermediate Microsoft Excel
Required Intermediate Microsoft Word
Required Intermediate Microsoft Outlook
Languages:

About us
Headquartered in Tampa, Fla., WellCare Health Plans, Inc. (NYSE: WCG) focuses primarily on providing government-sponsored managed care services to families, children, seniors and individuals with complex medical needs primarily through Medicaid, Medicare Advantage and Medicare Prescription Drug Plans, as well as individuals in the Health Insurance Marketplace. WellCare serves approximately 5.5 million members nationwide as of September 30, 2018. WellCare is a Fortune 500 company that employs nearly 12,000 associates across the country and was ranked a ""World's Most Admired Company"" in 2018 by Fortune magazine. For more information about WellCare, please visit the company's website at www.wellcare.com. EOE: All qualified applicants shall receive consideration for employment without regard to race, color, religion, creed, age, sex, pregnancy, veteran status, marital status, sexual orientation, gender identity or expression, national origin, ancestry, disability, genetic information, childbirth or related medical condition or other legally protected basis protected by applicable federal or state law except where a bona fide occupational qualification applies. Comprehensive Health Management, Inc. is an equal opportunity employer, M/F/D/V/SO.",3.5
Data Engineer Intern,PlanSource,"Orlando, FL 32885","PlanSource is a high-growth software company headquartered in Orlando, Florida, with offices in Salt Lake City, Minneapolis, Grand Rapids MI, and Charleston SC. We are looking to provide college students with an internship opportunity to gain real-world experience in developing, deploying, and maintaining data pipelines and enterprise data sets while receiving mentorship from highly experienced industry professionals.
PlanSource is part of the Vista Equity Partners portfolio of companies. Together, we are working to reinvent the employee benefits administration landscape. Our talented associates benefit from this partnership through increased capital for strategic investments, access to exceptional toolkits, best practices and resources for success, and strong cultural and value alignment focused on talent development and growth.
This is your time to shine. Our Data Engineer interns are considered full-time employees by their peers-in fact, in our collaborative culture, you find plenty of opportunities to make impactful contributions to our Development Team. Under the supervision of our staff, the Associate Data Engineer Intern can expect to support engineering and data science teams on our data initiatives, ensuring data is accurate and reliable and that pipelines are running regularly. You should be self-motivated and comfortable supporting the needs of multiple teams, systems, and products.
This is an ideal opportunity for someone who wants to learn our data engineering process from early concept to deployment, and to expand and optimize data and data pipeline architecture, data flow, and data collection for cross-functional teams. We foster an environment that empowers small teams to collaboratively set the direction of our solutions.
In addition, you’ll need the following:
Enrolled in junior year or higher at a college/university
Working towards a BS in a quantitative discipline such as statistics, mathematics, engineering, computer science, or physics
Strong problem-solving and communication skills
Some experience with SQL and at least one programming language
Some experience with Unix-like operating systems
A desire to take ambiguous problems and see them through to the finish line
It would be cool if you were/had:
Some experience with Python
Some experience with or understanding of the AWS tech stack
Organized and detail oriented. You have time management down to a science, great follow through on tasks, and superior organizational skills.
You pursue insights that provide thoughtful answers to complex problems.
Innovative and resourceful, you are constantly looking for ways to improve upon things.
Our collaborative environment fosters a supportive team dynamic based on continual feedback.The opportunity to work for a fast growing, established technology company, but work side-by-side with a small, dynamic team of talented professionals.
Fast-paced environment with big goals and the opportunity to make a big impact (no bureaucracy).
An awesome work environment for creative professionals.
Top ten reasons to come to PlanSource:
#10: Join the Vista Family. In March 2019, Vista Equity Partners acquired PlanSource, marking a new phase a growth. Vista’s portfolio of technology and software companies collectively make up the 4th largest software ecosystem in the world with “intraportfolio” career advancement opportunities and have structures in place to leverage shared learnings from across the ecosystem.
#9: We are on a roll. Be part of a winning team – Thousands of employers and millions of consumers use the PlanSource Platform for benefits shopping, enrollment, billing and ongoing administration.
#8: Success is rewarded. With more than just a pat on the back, your success is recognized and rewarded. We take care of our employees in every way we can, with comprehensive benefits, cool perks, fun offices … and no-holds-barred Nerf wars.
#7: You can grow and develop professionally. PlanSource has a great track record of internal promotions and also filling open positions within the company.
#6: We give you the support you need. Different departments support you and provide you with the access and tools you need to succeed.
#5: Our business model is strong. With a leveraged sales model, our network of partners helps the organization succeed.
#4: Strong partnerships fuel your success. National partnerships with leading insurance carriers such as Aflac, Cigna, Guardian, MetLife, Guardian and Unum provide a competitive advantage and added credibility.
#3: The benefits industry is on fire. Legislation including the ACA has created an urgent and pervasive need in the marketplace for our technology.
#2: PlanSource has the right product. Show off our sophisticated cloud-based technology that meets the needs of even the most complex benefit programs.
#1: PlanSource is the right company. Join an up-and-coming high-growth technology company that is well funded and values its employees and their families.",3.299999952316284
Data Scientist,Elutions,"Tampa, FL 33605 (Historic Ybor area)","** Elutions will be unable to sponsor or transfer any additional H-1B visas during the next 5 years**

 Elutions is a global Enterprise AI & Automation company, empowering clients to drive continuous efficiency, cost and quality improvements. As the top leader in our industry, world-wide, we are constantly on the lookout for go-getters, people who aren't afraid to work hard, but have fun at the same time. Those who join our team aren't just bright, but are willing to develop and hone their skills every day, all while making a significant difference in the world.

 Data Scientist Responsibilities:
Perform exploratory data analysis and statistical modelling with high quality data handling techniques
Create meaningful data visualizations to communicate findings using python, PowerBI, etc.
Expand and improve current models and algorithms using research skills and previous experience
Perform feasibility, impact, technical risks and gap analysis.
Apply new mathematical methodologies to achieve specific models or analysis.
Create scalable model applicable to real time problems overcoming data barriers.
Incorporate process of continuous improvements into day-to-day tasks, aiming for quality refinements in statistics and data handling methods.
Troubleshoot problems and quality assurance in the processes with timely quality/ maintenance checks.
Update existing code to support ongoing analytic applications. Update, maintain and document existing work.
Collaborate with Research & Insights, Product Development, IT and other teams to conceptualize and implement analytic software from start to finish.
Design and deploy highly scalable ML architectures as solutions in Oil & Gas, Manufacturing, Retails industries.
Integrate ML software into Maestro, our AI Platform, with a professional software engineering team.
Perform other duties and projects as directed.
 Required Knowledge, Skills, and Abilities:
Ability to leverage computing frameworks to mine, process, and present the value from unstructured data.
Previous experience working on Machine Learning projects and problems in the classroom/industry
Solid understanding of data structures, algorithms, computability and complexity, and computer architecture.
Solid understanding of probability, statistics, distributions, and analysis methods.
Knowledge of programming languages such as Python, R, Perl, SQL and Java.
Knowledge of Machine Learning tools, libraries, and APIs such as scikit-learn, Theano, Spark, or TensorFlow and apply them to effectively choose a proper model.
Ability to work with unstructured data.
Ability to model and evaluate data sets to determine useful patterns.
Interface effectively with customers, other departments and managers to resolve industries customer problems and issues.
 Educational Requirements:
Minimum of Bachelor’s degree in one of the following disciplines (or similar): Computer Science, Statistics, Data Science, Advanced Mathematics, Machine Learning
Master’s degree preferred
Certifications preferred",NA
Data Scientist,Stratford Animal Health,"Odessa, FL 33556","Marketing Data Scientist

We are looking for a Marketing Data Scientist who will research and identify ways to build from our existing customer base and acquire new clients.

This role will include analyzing existing customer sales, B2B behavior and exploring market trends and opportunities. To be successful in this role, you should have significant experience with writing SQL queries/code, advanced Excel proficiency, knowledge of ASP coding and be comfortable with processing and analyzing marketing data. This team member works closely with departmental managers to analyze how to maximize the company’s return on investment.

Responsibilities

Identify the appropriate data to investigate, then gather, analyze, and conduct interpretation

Produce regularly scheduled and ad hoc reports as well as analysis

Report findings and research to senior management

Make recommendations based on your findings

Analyze sales funnels and customer intent

Measure ROI of online and offline advertising campaigns

Report on marketing KPIs, trends, like leads, conversion rates

Consolidation of sales data from multiple platforms

Track email campaign metrics (delivery, open, click-through rates)

Conduct competitive research and analyze benchmarking data

Research and implement marketing tools to support our promotional projects (automation software, social media scheduling etc)

Work closely with sales and marketing teams to identify opportunities for new client acquisition

Requirements
1+ year of experience working as a Marketing Data Analyst
Bachelor’s degree in Marketing or relevant field Work experience as a Marketing Analyst or similar role of 1+ year
Expertise in SQL, MS Excel, ASP
Experience with PPC / SEO campaigns
Strong analytical abilities
Ability to think critically and conduct research
Working knowledge of e-commerce platforms, preferably Shopify/Amazon.
SALARY COMMENSURATE WITH EXPERIENCE $50,000-$55,000

Job Type: Full-time

Experience:
relevant: 1 year (Preferred)
Marketing: 1 year (Preferred)
Work Location:
Odessa, FL (PASCO)
Benefits:
100% Company Paid Employee Dental, Health, Vision, Life
Generous Paid time off",NA
Data Operations Engineer II,DataLink,"Tampa, FL 33637 (Tampa Palms area)","Data Operations Engineer II
Data Operations
Summary
DataLink Software is seeking a highly qualified, experienced Data Operations Engineer. The right candidate for this position is someone who enjoys challenging work in a fast-paced environment and solving complex business problems with data and analytics enabling our customers in their pursuit of better healthcare outcomes for their members.
Essential Functions
Design, develop and implement ETL solutions for ingesting, cleansing, business rules execution and pushing customer data into DataLink’s systems.
Significant participation in analysis, interpretation, and translation of complex health plan data, issues, trends and relationships to provide our customers detailed insights into their data
Analyze and interpret complex data on source and target systems, identify the gaps, and provide solutions
Ability to write complex SQL queries
Optimizes SSIS package execution and SQL execution to minimize load times.
Ensures data integrity throughout the ETL process and appropriately handle errors
Work closely with Scrum team members using Agile processes to iteratively develop and improve ETL pipelines.
Proactively provide feedback and process improvement recommendations to the team and management
Other duties as assigned
Qualifications
Bachelor’s degree in Computer Science, Management Information Systems or related discipline Overall 5+ years of experience designing and developing ETL processes
3+ years of experience with SSIS, SSRS, SQL Server and T-SQL
Data analysis, data presentation, spread sheet and database capabilities
3+ years of experience automating ETL pipelines with a heavy emphasis on quality, validation and tracking
Experience with SAS or other statistical applications
Experience with SSAS, Tabular Models and/or Star Schemas
Experience with Healthcare data
Experience with NoSQL Database such as Hadoop and MongoDB",3.5
Restaurant Magic - Data Scientist,"ParTech, Inc.","Tampa, FL 33607","The Data Scientist builds the foundation for Restaurant Magic (RM) Data Central (DC) and its' progress in the AI & ML space. The Data Scientist will work with various stakeholders to understand the domain of Data Central and how it helps manage margin, and subsequently, apply a range of technical competencies to deliver business solutions such as optimization algorithms, prediction engines, pattern detection, and in some cases recommend courses of action.
JOB RESPONSIBILITIES
Work with product management and engineering departments to determine how to use business data for valuable business solutions that will enhance the Data Central product offering
Align business goals and business value with detailed steps needed to accomplish feature-driven objectives
Research and develop statistical learning models for data science components of Data Central, including searching for new data sources and assessing their accuracy or relevancy
Develop processes, techniques, and tools to analyze and monitor model performance while ensuring data accuracy
Implement new statistical or other mathematical methodologies as needed to improve specific models or analysis
Communicate results and ideas to key decision makers
KNOWLEDGE AND SKILLS
A natural inclination for solving complex problems
Degree in Computer Science, Statistics, Applied Math or related field
5+ years' practical experience with ETL, data processing, database programming and data analytics
Able to understand various data structures and common methods in data transformation
Excellent pattern recognition and predictive modeling skills
Extensive background in performing statistical analysis using languages like R, Python, etc., to process data and gain insights from it
Knowledge of Machine Learning techniques, including decision tree learning, clustering, artificial neural networks, etc., and their pros and cons
Knowledge and application experience in advanced statistical techniques and concepts, including, regression, distribution properties, statistical testing, etc.
Good communication skills to promote cross-team collaboration
Impulse to learn and master new technologies
Subject matter expert/industry experience in hospitality, restaurant, or Point of Sale data
Experience with large-scale ERP-style systems, with mission-critical data touchpoints
Quality: ""Possesses an understanding of and performs work related activities in accordance with and in support of the corporation Quality Policy"".
NOTE: This job description is intended to be illustrative of the position's duties and should not be construed to be an exhaustive statement of the essential functions of the job.
mqvqFkOkdK",3.5
Data Engineer,Arlo Solutions,"Tampa, FL 33609 (Swann Estates area)","Arlo Solutions has an immediate need for a Data Engineer with Nifi and Elasticsearch skills who can build data pipelines that handle the ingestion, manipulation, and storage of a variety of data sources. This position is located in Tampa.
Key requirements:
Ability to architect distributed systems that will process, store, and expose large volumes of data in an efficient manner.
Ability to design and customize data pipelines using tools such as NiFi and manipulate data in a variety of formats.
Ability to structure and manage very large (1+ PB) data sets in architectures such as Elasticsearch or Object Storage systems.
Active TS/SCI clearance and Security+ certification (required)
AAP/EEO Statement
Qualified applicants will receive consideration for employment without regard to race, color, religion, sex, national origin, sexual orientation, gender identity, disability or protected veteran status.
Other Duties
Please note this job description is not designed to cover or contain a comprehensive listing of activities, duties or responsibilities that are required of the employee for this job. duties, responsibilities, and activities may change at any time with or without notice.
Arlo Solutions is an information technology consulting services company that specializes in delivering technology solutions. Our reputation reflects the high quality of the talented Arlo Solutions team and the consultants working in partnership with our customers. Our mission is to understand and meet the needs of both our customers and consultants by delivering quality, value-added solutions. Our solutions are designed and managed to not only reduce costs, but to improve business processes, accelerate response time, improve services to end users, and give our customers a competitive edge, now and into the future.",NA
Data Visualization Engineer,Booz Allen Hamilton,"Tampa, FL 33609 (Beach Park area)","Key Role:
Develop analytics, reports, dashboards, and software to analyze information, including developing a data warehouse and outcomes improvement analytic tools, project management and workflow processes, and team norms to achieve implementation of the data warehouse. Develop Kibana dashboards and visualizations. Create prototype new visualization techniques for complex data sets. Support development of interfaces and services to query and retrieve data via Elasticsearch.
Basic Qualifications:
3 years of experience with data visualization and analytics support using referenced technical tools
Ability to contribute as part of a multi-functional team
TS/SCI clearance
BA or BS degree
Clearance:
Applicants selected will be subject to a security investigation and may need to meet eligibility requirements for access to classified information; TS/SCI clearance is required.
We’re an EOE that empowers our people—no matter their race, color, religion, sex, gender identity, sexual orientation, national origin, disability, veteran status, or other protected characteristic—to fearlessly drive change.
CDM",3.9000000953674316
